Vc;t;f;Ra
75;0.15;0.04;0.212
75;0.15;0.08;0.65
75;0.15;0.16;1.415
75;0.15;0.32;3.121
75;0.3;0.02;0.152
75;0.3;0.08;0.738
75;0.3;0.16;1.645
75;0.3;0.32;3.312
75;0.45;0.02;0.182
75;0.45;0.04;0.389
75;0.45;0.16;1.699
75;0.45;0.32;3.386
75;0.6;0.02;0.261
75;0.6;0.04;0.499
75;0.6;0.08;0.898
75;0.6;0.32;3.599
75;0.75;0.02;0.394
75;0.75;0.04;0.599
75;0.75;0.08;0.999
75;0.75;0.16;1.811
100;0.15;0.02;0.106
100;0.15;0.04;0.225
100;0.15;0.08;0.688
100;0.15;0.32;3.311
100;0.3;0.02;0.162
100;0.3;0.04;0.389
100;0.3;0.16;1.743
100;0.3;0.32;3.504
100;0.45;0.02;0.193
100;0.45;0.08;0.845
100;0.45;0.16;1.798
100;0.45;0.32;3.585
100;0.6;0.04;0.527
100;0.6;0.08;0.95
100;0.6;0.16;1.916
100;0.6;0.32;3.807
100;0.75;0.04;0.633
100;0.75;0.08;1.057
100;0.75;0.16;1.916
100;0.75;0.32;3.891
125;0.15;0.02;0.112
125;0.15;0.08;0.728
125;0.15;0.16;1.585
125;0.15;0.32;3.495
125;0.3;0.02;0.17
125;0.3;0.04;0.412
125;0.3;0.16;1.843
125;0.3;0.32;3.709
125;0.45;0.02;0.203
125;0.45;0.04;0.435
125;0.45;0.08;0.893
125;0.45;0.32;3.792
125;0.6;0.02;0.292
125;0.6;0.04;0.558
125;0.6;0.08;1.005
125;0.6;0.16;2.028
125;0.75;0.02;0.441
125;0.75;0.04;0.67
125;0.75;0.08;1.118
125;0.75;0.32;4.119
150;0.15;0.02;0.123
150;0.15;0.04;0.254
150;0.15;0.16;1.698
150;0.15;0.32;3.745
150;0.3;0.02;0.184
150;0.3;0.08;0.885
150;0.3;0.16;1.974
150;0.3;0.32;3.974
150;0.45;0.04;0.467
150;0.45;0.08;0.957
150;0.45;0.16;2.038
150;0.6;0.02;0.313
150;0.6;0.04;0.598
150;0.6;0.08;1.077
150;0.6;0.32;4.318
150;0.75;0.02;0.472
150;0.75;0.04;0.718
150;0.75;0.16;2.173
150;0.75;0.32;4.413
175;0.15;0.02;0.128
175;0.15;0.08;0.832
175;0.15;0.16;1.812
175;0.15;0.32;3.994
175;0.3;0.04;0.471
175;0.3;0.08;0.945
175;0.3;0.16;2.106
175;0.3;0.32;4.239
175;0.45;0.02;0.232
175;0.45;0.04;0.497
175;0.45;0.08;1.021
175;0.45;0.16;2.174
175;0.6;0.02;0.334
175;0.6;0.04;0.638
175;0.6;0.08;1.149
175;0.6;0.32;4.606
175;0.75;0.02;0.504
175;0.75;0.04;0.767
175;0.75;0.16;2.318
175;0.75;0.32;4.707

